bowler,bowling Hand,bowling Type
KP Pietersen,Right Handed,Right Arm Off Break
Mandeep Singh,Right Handed,Right Arm Medium
N Pooran,Left Handed,
SA Abbott,Right Handed,Right Arm Fast Medium
RR Raje,Right Handed,Right Arm Fast Medium
OA Shah,Right Handed,Right Arm Off Break
S Ladda,Right Handed,Right Arm Leg Break
BB Sran,Left Handed,Left Arm Medium
FY Fazal,Left Handed,Right Arm Medium
MM Sharma,Right Handed,Right Arm Medium
DR Shorey,Right Handed,Right Arm Off Break
DJ Harris,Right Handed,Right Arm Medium
RP Singh,Right Handed,Left Arm Medium Fast
P Ray Barman,Right Handed,Left Arm Chinaman (Googly)
Sunny Singh,Right Handed,Right Arm Medium Fast
KH Pandya,Left Handed,Left Arm Orthodox
M Markande,Right Handed,
D Salunkhe,Right Handed,Right Arm Leg Break
P Parameswaran,Right Handed,Left Arm Medium
LE Plunkett,Right Handed,Right Arm Fast Medium
SV Samson,Right Handed,
SD Lad,Right Handed,Right Arm Off Break
TS Mills,Right Handed,Right Arm Fast
Bipul Sharma,Left Handed,Left Arm Orthodox
Shoaib Akhtar,Right Handed,Right Arm Fast
GH Vihari,Right Handed,Right Arm Off Break
MJ Clarke,Right Handed,Left Arm Orthodox
A Choudhary,Right Handed,Left Arm Medium
R Ninan,Right Handed,Right Arm Off Break
WPUJC Vaas,Left Handed,Left Arm Fast Medium
AM Rahane,Right Handed,Right Arm Medium
Parvez Rasool,Right Handed,Right Arm Off Break
F Behardien,Right Handed,Right Arm Fast Medium
AA Jhunjhunwala,Right Handed,Right Arm Off Break
CK Langeveldt,Right Handed,Right Arm Fast Medium
CJ Green,Right Handed,Right Arm Off Break
AB de Villiers,Right Handed,
A Kumble,Right Handed,Right Arm Leg Break
DT Patil,Right Handed,
BA Stokes,Left Handed,Right Arm Fast Medium
HF Gurney,Right Handed,Left Arm Fast Medium
AJ Finch,Right Handed,Left Arm Orthodox
Shivam Sharma,Right Handed,
MJ Santner,Left Handed,Left Arm Orthodox
SS Iyer,Right Handed,Right Arm Leg Break
HM Amla,Right Handed,Right Arm Medium
PM Sarvesh Kumar,Right Handed,Right Arm Medium
NA Saini,Right Handed,Right Arm Fast
S Sohal,Right Handed,Right Arm Leg Break
PA Patel,Left Handed,
KMA Paul,Right Handed,Right Arm Fast Medium
TU Deshpande,Left Handed,Right Arm Medium
VR Aaron,Right Handed,
KMDN Kulasekara,Right Handed,Right Arm Fast Medium
SM Boland,Right Handed,Right Arm Fast Medium
Karanveer Singh,Right Handed,Left Arm Chinaman (Googly)
MJ Lumb,Left Handed,Right Arm Medium
B Sumanth,Right Handed,Right Arm Fast Medium
SB Bangar,Right Handed,Right Arm Medium Fast
DP Vijaykumar,Right Handed,Right Arm Medium
AP Tare,Right Handed,
RK Singh,Left Handed,Right Arm Off Break
AD Nath,Right Handed,Right Arm Medium Fast
KJ Abbott,Right Handed,Right Arm Fast Medium
LS Livingstone,Right Handed,Right Arm Leg Break
AF Milne,Right Handed,Right Arm Medium Fast
Ankit Soni,Right Handed,Right Arm Leg Break
PK Garg,Right Handed,Right Arm Medium
Sandeep Sharma,Right Handed,Right Arm Medium
JD Ryder,Left Handed,Right Arm Medium
RJ Quiney,Left Handed,Right Arm Medium
K Khejroliya,Left Handed,Left Arm Medium Fast
RR Powar,Right Handed,Right Arm Off Break
P Suyal,Right Handed,Left Arm Medium
Ravi Bishnoi,Right Handed,Right Arm Leg Break
MA Khote,Right Handed,Right Arm Medium
S Kaushik,Right Handed,Left Arm Orthodox
SMSM Senanayake,Right Handed,Right Arm Off Break
A Ashish Reddy,Right Handed,Right Arm Medium
CJ Dala,Right Handed,Right Arm Medium
RK Bhui,Right Handed,Right Arm Leg Break
RD Chahar,Right Handed,Right Arm Leg Break
MS Bisla,Right Handed,
DJG Sammy,Right Handed,Right Arm Medium Fast
JO Holder,Right Handed,Right Arm Medium Fast
BB Samantray,Right Handed,
MS Gony,Right Handed,Right Arm Medium
BAW Mendis,Right Handed,Right Arm Off Break/Right Arm Leg Break
RR Pant,Left Handed,
ML Hayden,Left Handed,Right Arm Medium
Shivam Mavi,Right Handed,Right Arm Fast Medium
X Thalaivan Sargunam,Right Handed,Right Arm Off Break
MB Parmar,Right Handed,Right Arm Off Break
TL Suman,Right Handed,Right Arm Off Break
M Muralitharan,Right Handed,Right Arm Off Break
JEC Franklin,Left Handed,Left Arm Fast Medium
GJ Maxwell,Right Handed,Right Arm Off Break
Mashrafe Mortaza,Right Handed,Right Arm Fast Medium
MA Agarwal,Right Handed,
B Akhil,Right Handed,
AA Chavan,Left Handed,Left Arm Orthodox
Imran Tahir,Right Handed,Right Arm Leg Break
AD Mathews,Right Handed,Right Arm Fast Medium
NJ Rimmington,Right Handed,Right Arm Fast Medium
M Manhas,Right Handed,Right Arm Off Break
HV Patel,Right Handed,Right Arm Medium
BCJ Cutting,Right Handed,Right Arm Fast Medium
SN Thakur,Right Handed,Right Arm Medium
Joginder Sharma,Right Handed,Right Arm Fast Medium
ST Jayasuriya,Left Handed,Left Arm Orthodox/Left Arm Medium Fast
Sunny Gupta,Right Handed,Right Arm Off Break
CH Morris,Right Handed,Right Arm Fast Medium
